class_id,class_name,test_images,correct,recall
356,356,10,8,0.8
358,358,10,8,0.8
364,364,10,8,0.8
371,371,10,8,0.8
373,373,10,8,0.8
374,374,10,8,0.8
376,376,10,8,0.8
396,396,10,8,0.8
400,400,10,8,0.8
415,415,10,8,0.8
416,416,10,8,0.8
420,420,10,8,0.8
427,427,10,8,0.8
429,429,10,8,0.8
431,431,10,8,0.8
446,446,10,8,0.8
452,452,10,8,0.8
463,463,10,8,0.8
473,473,10,8,0.8
476,476,10,8,0.8
478,478,10,8,0.8
480,480,10,8,0.8
483,483,10,8,0.8
487,487,10,8,0.8
493,493,10,8,0.8
499,499,10,8,0.8
4,4,10,9,0.9
10,10,10,9,0.9
11,11,10,9,0.9
12,12,10,9,0.9
14,14,10,9,0.9
18,18,10,9,0.9
23,23,10,9,0.9
24,24,10,9,0.9
28,28,10,9,0.9
33,33,10,9,0.9
36,36,10,9,0.9
42,42,10,9,0.9
44,44,10,9,0.9
45,45,10,9,0.9
47,47,10,9,0.9
50,50,10,9,0.9
54,54,10,9,0.9
55,55,10,9,0.9
56,56,10,9,0.9
57,57,10,9,0.9
62,62,10,9,0.9
63,63,10,9,0.9
64,64,10,9,0.9
68,68,10,9,0.9
80,80,10,9,0.9
85,85,10,9,0.9
86,86,10,9,0.9
89,89,10,9,0.9
90,90,10,9,0.9
97,97,10,9,0.9
104,104,10,9,0.9
114,114,10,9,0.9
120,120,10,9,0.9
122,122,10,9,0.9
127,127,10,9,0.9
131,131,10,9,0.9
134,134,10,9,0.9
144,144,10,9,0.9
152,152,10,9,0.9
164,164,10,9,0.9
165,165,10,9,0.9
189,189,10,9,0.9
194,194,10,9,0.9
220,220,10,9,0.9
229,229,10,9,0.9
232,232,10,9,0.9
246,246,10,9,0.9
249,249,10,9,0.9
250,250,10,9,0.9
253,253,10,9,0.9
259,259,10,9,0.9
260,260,10,9,0.9
267,267,10,9,0.9
269,269,10,9,0.9
270,270,10,9,0.9
274,274,10,9,0.9
275,275,10,9,0.9
286,286,10,9,0.9
289,289,10,9,0.9
293,293,10,9,0.9
295,295,10,9,0.9
296,296,10,9,0.9
298,298,10,9,0.9
300,300,10,9,0.9
301,301,10,9,0.9
305,305,10,9,0.9
309,309,10,9,0.9
310,310,10,9,0.9
315,315,10,9,0.9
321,321,10,9,0.9
322,322,10,9,0.9
327,327,10,9,0.9
330,330,10,9,0.9
331,331,10,9,0.9
334,334,10,9,0.9
347,347,10,9,0.9
350,350,10,9,0.9
357,357,10,9,0.9
359,359,10,9,0.9
360,360,10,9,0.9
361,361,10,9,0.9
369,369,10,9,0.9
379,379,10,9,0.9
386,386,10,9,0.9
389,389,10,9,0.9
391,391,10,9,0.9
397,397,10,9,0.9
399,399,10,9,0.9
401,401,10,9,0.9
412,412,10,9,0.9
422,422,10,9,0.9
434,434,10,9,0.9
435,435,10,9,0.9
444,444,10,9,0.9
445,445,10,9,0.9
453,453,10,9,0.9
455,455,10,9,0.9
471,471,10,9,0.9
475,475,10,9,0.9
498,498,10,9,0.9
25,25,10,10,1.0
29,29,10,10,1.0
41,41,10,10,1.0
46,46,10,10,1.0
58,58,10,10,1.0
59,59,10,10,1.0
60,60,10,10,1.0
61,61,10,10,1.0
66,66,10,10,1.0
69,69,10,10,1.0
73,73,10,10,1.0
74,74,10,10,1.0
76,76,10,10,1.0
81,81,10,10,1.0
83,83,10,10,1.0
84,84,10,10,1.0
88,88,10,10,1.0
92,92,10,10,1.0
96,96,10,10,1.0
100,100,10,10,1.0
101,101,10,10,1.0
111,111,10,10,1.0
112,112,10,10,1.0
115,115,10,10,1.0
119,119,10,10,1.0
128,128,10,10,1.0
130,130,10,10,1.0
132,132,10,10,1.0
136,136,10,10,1.0
140,140,10,10,1.0
156,156,10,10,1.0
167,167,10,10,1.0
168,168,10,10,1.0
218,218,10,10,1.0
228,228,10,10,1.0
231,231,10,10,1.0
255,255,10,10,1.0
256,256,10,10,1.0
262,262,10,10,1.0
271,271,10,10,1.0
273,273,10,10,1.0
276,276,10,10,1.0
279,279,10,10,1.0
282,282,10,10,1.0
285,285,10,10,1.0
294,294,10,10,1.0
299,299,10,10,1.0
337,337,10,10,1.0
343,343,10,10,1.0
363,363,10,10,1.0
382,382,10,10,1.0
384,384,10,10,1.0
409,409,10,10,1.0
411,411,10,10,1.0
419,419,10,10,1.0
442,442,10,10,1.0
450,450,10,10,1.0
462,462,10,10,1.0
481,481,10,10,1.0
482,482,10,10,1.0
